排名,电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
17,好家伙,Martin Scorsese,Robert De Niro / Ray Liotta / Joe Pesci,传记/犯罪/剧情,美国,1990,2小时 25分钟,8.7,1300000 ,"$47,068,004 "
18,星际穿越,Christopher Nolan,Matthew McConaughey / Anne Hathaway / Jessica Chastain,冒险/剧情/科幻,美国/英国/加拿大,2014,2小时 49分钟,8.7,2400000 ,"$758,690,230 "
19,飞越疯人院,Milos Forman,Jack Nicholson / Louise Fletcher / Michael Berryman,剧情,美国,1975,2小时 13分钟,8.7,1100000 ,"$109,116,594 "
20,七宗罪,David Fincher,Morgan Freeman / Brad Pitt / Kevin Spacey,犯罪/剧情/悬疑,美国,1995,2小时 7分钟,8.6,1900000 ,"$328,983,304 "
21,生活多美好,Frank Capra,James Stewart / Donna Reed / Lionel Barrymore,剧情/家庭/奇幻,美国,1946,2小时 10分钟,8.6,531000 ,"$10,635,461 "
22,沉默的羔羊,Jonathan Demme,Jodie Foster / Anthony Hopkins / Scott Glenn,犯罪/剧情/恐怖,美国,1991,1小时 58分钟,8.6,1600000 ,"$272,742,922 "
23,七武士,Akira Kurosawa,Toshir? Mifune / Takashi Shimura / Keiko Tsushima,动作/剧情,日本,1954,3小时 27分钟,8.6,388000 ,"$1,082,148 "
24,拯救大兵瑞恩,Steven Spielberg,Tom Hanks / Matt Damon / Tom Sizemore,剧情/战争,美国,1998,2小时 49分钟,8.6,1600000 ,"$482,352,390 "
25,绿里奇迹,Frank Darabont,Tom Hanks / Michael Clarke Duncan / David Morse,犯罪/剧情/奇幻,美国,1999,3小时 9分钟,8.6,1500000 ,"$286,801,374 "
26,上帝之城,Fernando Meirelles,Alexandre Rodrigues / Leandro Firmino / Matheus Nachtergaele,犯罪/剧情,巴西/法国,2002,2小时 10分钟,8.6,843000 ,"$30,681,033 "
27,美丽人生,Roberto Benigni,Roberto Benigni / Nicoletta Braschi / Giorgio Cantarini,喜剧/剧情/爱情,意大利,1997,1小时 56分钟,8.6,784000 ,"$230,099,013 "
