电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
The Father,Florian Zeller,Anthony Hopkins / Olivia Colman / Mark Gatiss,Drama/Mystery,United Kingdom/France/United States,2020,1h 37m,8.2,216K,"$24,048,935"
Jurassic Park,Steven Spielberg,Sam Neill / Laura Dern / Jeff Goldblum,Action/Adventure/Sci-Fi,United States,1993,2h 7m,8.2,1.1M,"$1,104,379,926"
All About Eve,Joseph L. Mankiewicz,Bette Davis / Anne Baxter / George Sanders,Drama,United States,1950,2h 18m,8.2,146K,"$154,974"
There Will Be Blood,Paul Thomas Anderson,Daniel Day-Lewis / Paul Dano / Ciarán Hinds,Drama,United States,2007,2h 38m,8.2,676K,"$76,430,381"
The Sixth Sense,M. Night Shyamalan,Bruce Willis / Haley Joel Osment / Toni Collette,Drama/Mystery/Thriller,United States,1999,1h 47m,8.2,1.1M,"$672,806,432"
Casino,Martin Scorsese,Robert De Niro / Sharon Stone / Joe Pesci,Crime/Drama,United States/France,1995,2h 58m,8.2,597K,"$116,112,375"
Ran,Akira Kurosawa,Tatsuya Nakadai / Akira Terao / Jinpachi Nezu,Action/Drama/War,Japan/France,1985,2h 40m,8.2,145K,"$4,384,009"
Top Gun: Maverick,Joseph Kosinski,Tom Cruise / Jennifer Connelly / Miles Teller,Action/Drama,United States,2022,2h 10m,8.2,789K,"$1,495,696,292"
No Country for Old Men,Ethan Coen,Tommy Lee Jones / Javier Bardem / Josh Brolin,Crime/Drama/Thriller,United States,2007,2h 2m,8.2,1.1M,"$171,632,777"
The Thing,John Carpenter,Kurt Russell / Wilford Brimley / Keith David,Horror/Mystery/Sci-Fi,United States/Canada,1982,1h 49m,8.2,503K,"$20,842,105"
Unforgiven,Clint Eastwood,Clint Eastwood / Gene Hackman / Morgan Freeman,Drama/Western,United States,1992,2h 10m,8.2,457K,"$159,167,799"
El laberinto del fauno,Guillermo del Toro,Ivana Baquero / Ariadna Gil / Sergi López,Drama/Fantasy/War,Mexico/Spain,2006,1h 58m,8.2,728K,"$83,863,565"
Kill Bill: Vol. 1,Quentin Tarantino,Uma Thurman / David Carradine / Daryl Hannah,Action/Crime/Thriller,United States,2003,1h 51m,8.2,1.3M,"$180,908,413"
A Beautiful Mind,Ron Howard,Russell Crowe / Ed Harris / Jennifer Connelly,Biography/Drama/Mystery,United States,2001,2h 15m,8.2,1M,"$316,791,257"
Prisoners,Denis Villeneuve,Hugh Jackman / Jake Gyllenhaal / Viola Davis,Crime/Drama/Mystery,United States,2013,2h 33m,8.2,881K,"$122,127,446"
The Treasure of the Sierra Madre,John Huston,Humphrey Bogart / Walter Huston / Tim Holt,Adventure/Drama/Western,United States,1948,2h 6m,8.2,138K,"$5,014,000"
Yôjinbô,Akira Kurosawa,Toshirô Mifune / Eijirô Tôno / Tatsuya Nakadai,Action/Drama/Thriller,Japan,1961,1h 50m,8.2,139K,"$68,196"
Finding Nemo,Andrew Stanton,Albert Brooks / Ellen DeGeneres / Alexander Gould,Animation/Adventure/Comedy,United States/Japan/Australia,2003,1h 40m,8.2,1.2M,"$941,637,960"
Hauru no ugoku shiro,Hayao Miyazaki,Chieko Baishô / Takuya Kimura / Tatsuya Gashûin,Animation/Adventure/Family,Japan/United States,2004,1h 59m,8.2,488K,"$241,526,144"
The Great Escape,John Sturges,Steve McQueen / James Garner / Richard Attenborough,Adventure/Drama/Thriller,United States,1963,2h 52m,8.2,270K,"$230,637"
